Facility ID,FAC_CCMUNumber,FACID,FAC_Type,FAC_Capacity,Facility Name,Facility Address,"City, State, Zip",Other Service,County,Owner,Operator
385008,385008,385008,NF,96,Presbyterian Community Care Center,1085 N Oregon St,"Ontario, OR 97914",,Malheur             ,"Presbyterian Nursing Home, Inc.","Presbyterian Nursing Home, Inc."
385010,385010,385010,NF,159,Laurelhurst Village Rehabilitation Center,3060 SE Stark St,"Portland, OR 97214",ALF 89,Multnomah           ,"Laurelhurst Operations, LLC","Laurelhurst Operations, LLC"
385015,385015,385015,NF,128,Regency Gresham Nursing & Rehabilitation Center,5905 SE Powell Valley Rd,"Gresham, OR 97080","PED 12, DayCare 25",Multnomah           ,"Regency Gresham Nursing & Rehabilitation Center, LLC","Regency Pacific Management, LLC"
385018,385018,385018,NF,98,Providence Benedictine Nursing Center,540 South Main St,"Mt. Angel, OR 97362","ALF 52, ECU 16",Marion              ,Providence Health & Services - Oregon,Providence Health & Services - Oregon
385024,385024,385024,NF,91,Avamere Health Services of Rogue Valley,625 Stevens St,"Medford, OR 97504",,Jackson             ,"Medford Operations, LLC","Medford Operations, LLC"
385031,385031,385031,NF,127,Avamere Crestview of Portland,6530 SW 30th Avenue,"Portland, OR 97239",,Multnomah           ,"Crestview Operations, LLC","Crestview Operations, LLC"
385039,385039,385039,NF,84,Baycrest Health Center,3959 Sheridan Ave,"North Bend, OR 97459",RCF 91,Coos                ,"Bay Area Properties, LLC","Radiant Senior Living, Inc."
385044,385044,385044,NF,83,Prestige Care and Rehabilitation of Menlo Park,745 NE 122nd Ave,"Portland, OR 97230",,Multnomah           ,Care Center (Menlo Park) Inc.,"Prestige Care, Inc."
385045,385045,385045,NF,99,Porthaven Healthcare Center,5330 NE Prescott,"Portland, OR 97218",DayCare 3,Multnomah           ,Care Center (Porthaven) Inc.,"Prestige Care, Inc."
385046,385046,385046,NF,83,Hillside Heights Rehabilitation Center,1201 McLean Blvd,"Eugene, OR 97405",,Lane                ,Hillside Heights L.L.C.,"Pinnacle Healthcare Management, Inc."
