HOW_CcmuNumber,HOW_DateActive,HOW_DateInactive,HOW_IdNumber,HOW_ChangedBy,HOW_DateChanged
385008,11/09/1993 00:00:00,12/31/2999 00:00:00,1,,
385010,11/17/1993 00:00:00,12/31/2000 00:00:00,2,,
385010,01/01/2001 00:00:00,04/30/2005 00:00:00,570,carolyn,2001-01-30 00:00:00.000000
385010,05/01/2005 00:00:00,11/11/2008 00:00:00,1392,Admin,2005-04-29 00:00:00.000000
385010,11/12/2008 00:00:00,07/31/2011 00:00:00,1503,Admin,2010-06-09 00:00:00.000000
385010,08/01/2011 00:00:00,05/31/2013 00:00:00,2242,Admin,2011-07-25 00:00:00.000000
385010,06/01/2013 00:00:00,12/31/2999 00:00:00,2515,Admin,2013-05-31 00:00:00.000000
385015,10/27/1993 00:00:00,06/30/2007 00:00:00,3,,
385015,07/01/2007 00:00:00,12/31/2999 00:00:00,1749,Admin,2007-07-13 00:00:00.000000
385018,11/10/1994 00:00:00,12/31/2000 00:00:00,4,,
385018,01/01/2001 00:00:00,12/31/2009 00:00:00,1407,carolyn,2001-04-04 00:00:00.000000
385018,01/01/2010 00:00:00,12/31/2999 00:00:00,2044,Admin,2010-09-23 00:00:00.000000
385024,11/03/1993 00:00:00,04/01/2001 00:00:00,5,,
385024,04/02/2001 00:00:00,03/31/2013 00:00:00,747,carolyn,2001-08-28 00:00:00.000000
385024,04/01/2013 00:00:00,12/31/2999 00:00:00,2493,Admin,2013-03-28 00:00:00.000000
385031,12/10/1993 00:00:00,10/06/2006 00:00:00,6,,
385031,10/07/2006 00:00:00,12/31/2999 00:00:00,1671,Admin,2006-10-11 00:00:00.000000
385039,11/15/1993 00:00:00,12/05/2002 00:00:00,7,,
385039,12/06/2002 00:00:00,12/31/2999 00:00:00,1013,carolyn,2002-12-05 00:00:00.000000
385044,12/17/1993 00:00:00,05/31/1999 00:00:00,64,,
385044,06/01/1999 00:00:00,12/01/1999 00:00:00,8,,
385044,12/02/1999 00:00:00,09/30/2012 00:00:00,400,carolyn,2000-01-07 00:00:00.000000
385044,10/01/2012 00:00:00,12/31/2999 00:00:00,2403,Admin,2012-09-28 00:00:00.000000
385045,11/24/1993 00:00:00,12/31/2999 00:00:00,9,,
385046,02/02/1994 00:00:00,12/31/2999 00:00:00,10,,
385049,11/10/1993 00:00:00,06/30/1996 00:00:00,12,,
385049,07/01/1997 00:00:00,12/31/2999 00:00:00,11,,
385053,01/01/1996 00:00:00,07/31/1997 00:00:00,14,,
385053,08/01/1997 00:00:00,05/01/2007 00:00:00,13,,
385053,05/02/2007 00:00:00,12/31/2999 00:00:00,1732,Admin,2007-06-11 00:00:00.000000
385055,01/20/1994 00:00:00,07/15/2005 00:00:00,15,,
385055,07/16/2005 00:00:00,12/31/2011 00:00:00,1422,Admin,2005-07-15 00:00:00.000000
385055,01/01/2012 00:00:00,12/31/2999 00:00:00,2298,Admin,2011-12-29 00:00:00.000000
385064,11/19/1993 00:00:00,09/01/1996 00:00:00,105,,
385064,09/02/1996 00:00:00,03/31/2010 00:00:00,16,,
385064,04/01/2010 00:00:00,12/31/2999 00:00:00,2083,Admin,2010-04-19 00:00:00.000000
385068,11/30/1993 00:00:00,10/31/2007 00:00:00,17,,
385068,11/01/2007 00:00:00,12/31/2999 00:00:00,1783,Admin,2007-11-01 00:00:00.000000
385072,11/15/1993 00:00:00,12/31/2999 00:00:00,18,,
385077,11/19/1993 00:00:00,06/30/1998 00:00:00,6,,
385077,07/01/1998 00:00:00,12/31/1998 00:00:00,69,,
385077,01/01/1999 00:00:00,12/31/1999 00:00:00,19,,
385077,01/01/2000 00:00:00,12/31/2999 00:00:00,442,carolyn,2001-01-24 00:00:00.000000
385091,11/26/1993 00:00:00,05/01/1998 00:00:00,20,,
385091,05/02/1998 00:00:00,12/31/2009 00:00:00,411,carolyn,2000-02-25 00:00:00.000000
385091,01/01/2010 00:00:00,12/31/2999 00:00:00,2047,Admin,2010-01-15 00:00:00.000000
385094,11/01/1993 00:00:00,05/29/2002 00:00:00,21,,
385104,11/24/1993 00:00:00,12/31/2999 00:00:00,22,,
385107,12/15/1993 00:00:00,12/31/2999 00:00:00,23,,
385112,11/17/1993 00:00:00,12/31/2999 00:00:00,24,,
385115,10/26/1993 00:00:00,10/31/2014 00:00:00,25,,
