abuse_number,city_name,fac_name,fac_type,inv_comp_date,online_incident_date
OT104511,ONTARIO,AAREN BROOKE PLACE,RCF, 06/25/2010, 05/19/2010
OT073945H,ONTARIO,AAREN BROOKE PLACE,RCF, 06/18/2007, 02/12/2007
OT073945H,ONTARIO,AAREN BROOKE PLACE,RCF, 06/18/2007, 02/12/2007
OT61831,ONTARIO,AAREN BROOKE PLACE,RCF, 03/22/2006, 12/27/2005
OT51827,ONTARIO,AAREN BROOKE PLACE,RCF, 12/29/2005, 11/20/2005
BC153376,GRESHAM,ADARA OAKS MANOR,RCF, 01/21/2016, 10/28/2015
CO15077,GRESHAM,ADARA OAKS MANOR,RCF, 04/06/2015, 04/06/2015
CO06045,MILWAUKIE,ALDERCREST,RCF, 05/23/2006, 05/13/2006
CK050379C,MILWAUKIE,ALDERCREST,RCF, 02/21/2006, 11/07/2005
CK050277A,MILWAUKIE,ALDERCREST,RCF, 10/14/2005, 08/10/2005
ES165003,EUGENE,ALL SEASONS RCF,RCF, 04/11/2016, 03/11/2016
ES152259,EUGENE,ALL SEASONS RCF,RCF, 09/09/2015, 07/27/2015
ES151695,EUGENE,ALL SEASONS RCF,RCF, 07/28/2015, 06/11/2015
ES151438,EUGENE,ALL SEASONS RCF,RCF, 07/07/2015, 05/31/2015
ES151403,EUGENE,ALL SEASONS RCF,RCF, 08/13/2015, 05/11/2015
ES150625,EUGENE,ALL SEASONS RCF,RCF, 05/19/2015, 03/15/2015
CO15054,EUGENE,ALL SEASONS RCF,RCF, 03/11/2015, 03/11/2015
ES150456B,EUGENE,ALL SEASONS RCF,RCF, 01/22/2016, 03/02/2015
ES129146,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 04/24/2012, 02/02/2012
ES118305,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 12/21/2011, 10/23/2011
ES116600,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 09/08/2011, 03/24/2011
ES105477,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 11/19/2010, 10/11/2010
ES105267B,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 03/25/2011, 09/12/2010
ES092532,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 03/17/2010, 08/24/2009
CO09084,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 06/03/2009, 05/07/2009
ES090850A,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 06/19/2009, 04/19/2009
ES090850B,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 06/19/2009, 04/19/2009
ES092498,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 11/04/2009, 04/01/2009
ES092495A,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 03/15/2010, 03/04/2009
ES090177,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 04/02/2009, 02/01/2009
ES090008,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 03/31/2009, 01/24/2009
ES099954B,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 02/26/2009, 01/13/2009
ES099808,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 02/09/2009, 12/31/2008
ES089727A,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 01/26/2009, 12/28/2008
ES087563,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 08/04/2008, 05/04/2008
ES073642,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 03/05/2007, 01/28/2007
ES073608,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 02/23/2007, 01/15/2007
ES073602,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 02/02/2007, 11/30/2006
CO06067,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 10/06/2006, 09/29/2006
ES101127,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 08/08/2006, 07/19/2006
ES100897,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 04/27/2006, 03/27/2006
EG100712,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 03/02/2006, 01/19/2006
EG100356,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 08/31/2005, 08/04/2005
EG99506,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 12/08/2004, 09/22/2004
EG99378,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 09/15/2004, 08/05/2004
EG99025,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 04/27/2004, 03/10/2004
CO04006,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 01/28/2004, 12/31/2003
EG98361,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 08/07/2003, 05/08/2003
EG98219B,EUGENE,ALPINE COURT MEMORY CARE COMMUNITY,RCF, 10/16/2003, 01/27/2003
MR315A,PORTLAND,ALTENHEIM RETIREMENT CENTER,RCF, 01/13/2003, 01/06/2003
HB074682,BEAVERTON,ALTERRA CLARE BRIDGE - BEAVERTON,RCF, 07/17/2007, 05/26/2007
HB062500,BEAVERTON,ALTERRA CLARE BRIDGE - BEAVERTON,RCF, 10/16/2006, 08/21/2006
RD087827,BEND,ALTERRA CLARE BRIDGE - BEND,RCF, 06/09/2008, 05/07/2008
RD087282A,BEND,ALTERRA CLARE BRIDGE - BEND,RCF, 04/16/2008, 03/04/2008
RD074683C,BEND,ALTERRA CLARE BRIDGE - BEND,RCF, 06/15/2007, 05/05/2007
CO06013,BEND,ALTERRA CLARE BRIDGE - BEND,RCF, 01/30/2006, 01/18/2006
RD52363A,BEND,ALTERRA CLARE BRIDGE - BEND,RCF, 01/25/2006, 04/11/2005
RD52364A,BEND,ALTERRA CLARE BRIDGE - BEND,RCF, 01/23/2006, 04/07/2005
RD52364B,BEND,ALTERRA CLARE BRIDGE - BEND,RCF, 01/23/2006, 04/07/2005
BD41198A,BEND,ALTERRA CLARE BRIDGE - BEND,RCF, 11/18/2004, 08/23/2004
BD41198B,BEND,ALTERRA CLARE BRIDGE - BEND,RCF, 11/18/2004, 08/23/2004
SV087523,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 06/26/2008, 04/05/2008
SV074934,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 08/24/2007, 06/22/2007
SV062220,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 09/15/2006, 06/06/2006
MV061816,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 07/24/2006, 05/14/2006
MV061501,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 06/08/2006, 03/13/2006
MV061355A,SALEM,ALTERRA CLARE BRIDGE - SALEM,RCF, 05/08/2006, 02/12/2006
