abuse_number,city_name,fac_type,inv_comp_date,online_fac_name,online_incident_date
OT104511,ONTARIO,RCF, 06/25/2010,AAREN BROOKE PLACE, 05/19/2010
OT073945H,ONTARIO,RCF, 06/18/2007,AAREN BROOKE PLACE, 02/12/2007
OT073945H,ONTARIO,RCF, 06/18/2007,AAREN BROOKE PLACE, 02/12/2007
OT61831,ONTARIO,RCF, 03/22/2006,AAREN BROOKE PLACE, 12/27/2005
OT51827,ONTARIO,RCF, 12/29/2005,AAREN BROOKE PLACE, 11/20/2005
BC153376,GRESHAM,RCF, 01/21/2016,ADARA OAKS MANOR, 10/28/2015
CO15077,GRESHAM,RCF, 04/06/2015,ADARA OAKS MANOR, 04/06/2015
CO06045,MILWAUKIE,RCF, 05/23/2006,ALDERCREST, 05/13/2006
CK050379C,MILWAUKIE,RCF, 02/21/2006,ALDERCREST, 11/07/2005
CK050277A,MILWAUKIE,RCF, 10/14/2005,ALDERCREST, 08/10/2005
ES165003,EUGENE,RCF, 04/11/2016,ALL SEASONS RCF, 03/11/2016
ES152259,EUGENE,RCF, 09/09/2015,ALL SEASONS RCF, 07/27/2015
ES151695,EUGENE,RCF, 07/28/2015,ALL SEASONS RCF, 06/11/2015
ES151438,EUGENE,RCF, 07/07/2015,ALL SEASONS RCF, 05/31/2015
ES151403,EUGENE,RCF, 08/13/2015,ALL SEASONS RCF, 05/11/2015
ES150625,EUGENE,RCF, 05/19/2015,ALL SEASONS RCF, 03/15/2015
CO15054,EUGENE,RCF, 03/11/2015,ALL SEASONS RCF, 03/11/2015
ES150456B,EUGENE,RCF, 01/22/2016,ALL SEASONS RCF, 03/02/2015
ES129146,EUGENE,RCF, 04/24/2012,ALPINE COURT MEMORY CARE COMMUNITY, 02/02/2012
ES118305,EUGENE,RCF, 12/21/2011,ALPINE COURT MEMORY CARE COMMUNITY, 10/23/2011
ES116600,EUGENE,RCF, 09/08/2011,ALPINE COURT MEMORY CARE COMMUNITY, 03/24/2011
ES105477,EUGENE,RCF, 11/19/2010,ALPINE COURT MEMORY CARE COMMUNITY, 10/11/2010
ES105267B,EUGENE,RCF, 03/25/2011,ALPINE COURT MEMORY CARE COMMUNITY, 09/12/2010
ES092532,EUGENE,RCF, 03/17/2010,ALPINE COURT MEMORY CARE COMMUNITY, 08/24/2009
CO09084,EUGENE,RCF, 06/03/2009,ALPINE COURT MEMORY CARE COMMUNITY, 05/07/2009
ES090850A,EUGENE,RCF, 06/19/2009,ALPINE COURT MEMORY CARE COMMUNITY, 04/19/2009
ES090850B,EUGENE,RCF, 06/19/2009,ALPINE COURT MEMORY CARE COMMUNITY, 04/19/2009
ES092498,EUGENE,RCF, 11/04/2009,ALPINE COURT MEMORY CARE COMMUNITY, 04/01/2009
ES092495A,EUGENE,RCF, 03/15/2010,ALPINE COURT MEMORY CARE COMMUNITY, 03/04/2009
ES090177,EUGENE,RCF, 04/02/2009,ALPINE COURT MEMORY CARE COMMUNITY, 02/01/2009
ES090008,EUGENE,RCF, 03/31/2009,ALPINE COURT MEMORY CARE COMMUNITY, 01/24/2009
ES099954B,EUGENE,RCF, 02/26/2009,ALPINE COURT MEMORY CARE COMMUNITY, 01/13/2009
ES099808,EUGENE,RCF, 02/09/2009,ALPINE COURT MEMORY CARE COMMUNITY, 12/31/2008
ES089727A,EUGENE,RCF, 01/26/2009,ALPINE COURT MEMORY CARE COMMUNITY, 12/28/2008
ES087563,EUGENE,RCF, 08/04/2008,ALPINE COURT MEMORY CARE COMMUNITY, 05/04/2008
ES073642,EUGENE,RCF, 03/05/2007,ALPINE COURT MEMORY CARE COMMUNITY, 01/28/2007
ES073608,EUGENE,RCF, 02/23/2007,ALPINE COURT MEMORY CARE COMMUNITY, 01/15/2007
ES073602,EUGENE,RCF, 02/02/2007,ALPINE COURT MEMORY CARE COMMUNITY, 11/30/2006
CO06067,EUGENE,RCF, 10/06/2006,ALPINE COURT MEMORY CARE COMMUNITY, 09/29/2006
ES101127,EUGENE,RCF, 08/08/2006,ALPINE COURT MEMORY CARE COMMUNITY, 07/19/2006
ES100897,EUGENE,RCF, 04/27/2006,ALPINE COURT MEMORY CARE COMMUNITY, 03/27/2006
EG100712,EUGENE,RCF, 03/02/2006,ALPINE COURT MEMORY CARE COMMUNITY, 01/19/2006
EG100356,EUGENE,RCF, 08/31/2005,ALPINE COURT MEMORY CARE COMMUNITY, 08/04/2005
EG99506,EUGENE,RCF, 12/08/2004,ALPINE COURT MEMORY CARE COMMUNITY, 09/22/2004
EG99378,EUGENE,RCF, 09/15/2004,ALPINE COURT MEMORY CARE COMMUNITY, 08/05/2004
EG99025,EUGENE,RCF, 04/27/2004,ALPINE COURT MEMORY CARE COMMUNITY, 03/10/2004
CO04006,EUGENE,RCF, 01/28/2004,ALPINE COURT MEMORY CARE COMMUNITY, 12/31/2003
EG98361,EUGENE,RCF, 08/07/2003,ALPINE COURT MEMORY CARE COMMUNITY, 05/08/2003
EG98219B,EUGENE,RCF, 10/16/2003,ALPINE COURT MEMORY CARE COMMUNITY, 01/27/2003
MR315A,PORTLAND,RCF, 01/13/2003,ALTENHEIM RETIREMENT CENTER, 01/06/2003
HB074682,BEAVERTON,RCF, 07/17/2007,ALTERRA CLARE BRIDGE - BEAVERTON, 05/26/2007
HB062500,BEAVERTON,RCF, 10/16/2006,ALTERRA CLARE BRIDGE - BEAVERTON, 08/21/2006
RD087827,BEND,RCF, 06/09/2008,ALTERRA CLARE BRIDGE - BEND, 05/07/2008
RD087282A,BEND,RCF, 04/16/2008,ALTERRA CLARE BRIDGE - BEND, 03/04/2008
RD074683C,BEND,RCF, 06/15/2007,ALTERRA CLARE BRIDGE - BEND, 05/05/2007
CO06013,BEND,RCF, 01/30/2006,ALTERRA CLARE BRIDGE - BEND, 01/18/2006
RD52363A,BEND,RCF, 01/25/2006,ALTERRA CLARE BRIDGE - BEND, 04/11/2005
RD52364A,BEND,RCF, 01/23/2006,ALTERRA CLARE BRIDGE - BEND, 04/07/2005
RD52364B,BEND,RCF, 01/23/2006,ALTERRA CLARE BRIDGE - BEND, 04/07/2005
BD41198A,BEND,RCF, 11/18/2004,ALTERRA CLARE BRIDGE - BEND, 08/23/2004
BD41198B,BEND,RCF, 11/18/2004,ALTERRA CLARE BRIDGE - BEND, 08/23/2004
SV087523,SALEM,RCF, 06/26/2008,ALTERRA CLARE BRIDGE - SALEM, 04/05/2008
SV074934,SALEM,RCF, 08/24/2007,ALTERRA CLARE BRIDGE - SALEM, 06/22/2007
SV062220,SALEM,RCF, 09/15/2006,ALTERRA CLARE BRIDGE - SALEM, 06/06/2006
MV061816,SALEM,RCF, 07/24/2006,ALTERRA CLARE BRIDGE - SALEM, 05/14/2006
MV061501,SALEM,RCF, 06/08/2006,ALTERRA CLARE BRIDGE - SALEM, 03/13/2006
MV061355A,SALEM,RCF, 05/08/2006,ALTERRA CLARE BRIDGE - SALEM, 02/12/2006
SL057341,SALEM,RCF, 09/13/2005,ALTERRA CLARE BRIDGE - SALEM, 06/29/2005
CO04014,SALEM,RCF, 02/25/2004,ALTERRA CLARE BRIDGE - SALEM, 02/18/2004
SL046775D,SALEM,RCF, 03/12/2004,ALTERRA CLARE BRIDGE - SALEM, 01/16/2004
